INFO:root:Entering main...
INFO:root:Logged cmd arguments
INFO:root:(1585223771.223083)	[SERVER@localhost:5556]: initializing
INFO:root:(1585223771.2440884)	[CLIENT@localhost:5557]: initializing
INFO:root:(1585223771.2630956)	[CLIENT@localhost:5558]: initializing
INFO:root:(1585223771.2830987)	[CLIENT@localhost:5559]: initializing
INFO:root:(1585223771.3021038)	[SERVER@localhost:5556]: running ...
INFO:root:(1585223771.3051045)	[CLIENT@localhost:5557]: subscribed to localhost:5556
INFO:root:(1585223771.3181124)	[CLIENT@localhost:5558]: subscribed to localhost:5556
INFO:root:(1585223771.3241088)	[CLIENT@localhost:5559]: subscribed to localhost:5556
INFO:root:(1585223771.36912)	[SERVER@localhost:5556]: read tracefile -> ChunkChanges-very-distributed.csv
INFO:root:(1585223772.0862982)	[SERVER@localhost:5556]: starting to publish updates ...
INFO:root:(1585223772.0872993)	[SERVER@localhost:5556]: published update
INFO:root:(1585223772.089301)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223772.089301)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223772.089301)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223772.0903013)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223772.0903013)	[CLIENT@localhost:5558]: processed update from localhost:5556
INFO:root:(1585223772.0913012)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223772.5903366)	[SERVER@localhost:5556]: published update
INFO:root:(1585223772.5923378)	[CLIENT@localhost:5557]: received update from localhost:5556
INFO:root:(1585223772.5933416)	[CLIENT@localhost:5559]: received update from localhost:5556
INFO:root:(1585223772.594339)	[CLIENT@localhost:5558]: received update from localhost:5556
INFO:root:(1585223772.594339)	[CLIENT@localhost:5557]: processed update from localhost:5556
INFO:root:(1585223772.5953379)	[CLIENT@localhost:5559]: processed update from localhost:5556
INFO:root:(1585223772.5963387)	[CLIENT@localhost:5558]: processed update from localhost:5556
